stage,observation,noisy_observation,small_prob,large_prob,prediction,true_target,correct,trial_id,experiment,description
gaze,0,0,0.55,0.44999999999999996,0,0,1,0,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,0,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,0,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,1,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,1,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,1,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,2,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,2,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,2,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,3,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,3,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,3,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,4,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,4,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,4,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,5,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,5,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,5,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,1,0.44999999999999996,0.55,1,0,0,6,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.665289256198347,0.33471074380165294,0,0,1,6,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9069037656903766,0.09309623430962348,0,0,1,6,all_cues_correct_small,All cues correctly indicate the small object.
gaze,0,0,0.55,0.44999999999999996,0,0,1,7,all_cues_correct_small,All cues correctly indicate the small object.
hand,0,0,0.7325581395348837,0.2674418604651163,0,0,1,7,all_cues_correct_small,All cues correctly indicate the small object.
trajectory,0,0,0.9252767527675276,0.07472324723247233,0,0,1,7,all_cues_correct_small,All cues correctly indicate the small object.
